trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
118,False,"{'a': 0.06, 'e': 0.49262846980013625}",20,9,6.960365961503055,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.06, 'e': 0.4896815485857369}",25,0,-38.61989609471553,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
120,False,"{'a': 0.06, 'e': 0.4867522559599724}",20,12,8.238326392077521,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.06, 'e': 0.4838404864679918}",20,14,8.433326016770746,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.06, 'e': 0.48094613528577884}",20,0,-37.24355020607683,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
123,False,"{'a': 0.06, 'e': 0.4780690982163784}",20,8,-8.91256282454725,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.06, 'e': 0.47520927168614524}",20,0,-23.9556797421607,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
125,False,"{'a': 0.06, 'e': 0.4723665527410155}",25,6,20.54523343245929,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.06, 'e': 0.4695408390428001}",30,0,-32.56392383289578,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
127,False,"{'a': 0.06, 'e': 0.4667320288655007}",20,0,-64.6851021328514,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
128,False,"{'a': 0.06, 'e': 0.4639400210916475}",25,0,-60.78550826806054,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
129,False,"{'a': 0.06, 'e': 0.4611647152086593}",25,9,-27.953114305054246,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
130,False,"{'a': 0.06, 'e': 0.4584060113052244}",20,0,-45.093695335848665,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
131,False,"{'a': 0.06, 'e': 0.4556638100677044}",30,11,-46.24542981832643,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
